City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
495,nyrob,60.733,56.7202,6.14,85,9,2.49,RU,1693359380
496,buka,40.8108,69.1986,23.38,31,100,0.11,UZ,1693359381
497,nyaunglebin,17.95,96.7333,26.55,87,99,0.66,MM,1693359381
498,hohhot,40.8106,111.6522,21.16,37,0,2.0,CN,1693359162
499,saint-mihiel,48.8875,5.551,13.27,79,100,1.05,FR,1693359382
500,hobyo,5.3505,48.5268,24.65,82,11,9.36,SO,1693359382
501,souillac,-20.5167,57.5167,22.21,78,40,3.09,MU,1693359382
502,tual,-5.6667,132.75,24.78,84,99,9.19,ID,1693359382
503,isabela,6.7085,121.9711,31.03,69,99,1.43,PH,1693359276
504,tamiami,25.7587,-80.3984,28.34,85,100,5.14,US,1693359383
505,tossa de mar,41.7325,2.9338,20.4,53,87,1.53,ES,1693359383
506,shagonar,51.5333,92.8,19.26,78,100,1.26,RU,1693359383
507,uvarovo,51.9849,42.2615,9.86,58,33,0.31,RU,1693359384
508,altai,46.3722,96.2583,17.48,35,100,1.29,MN,1693359384
509,bargaal,11.2864,51.0773,29.83,50,14,8.64,SO,1693359384
510,port-saint-louis-du-rhone,43.3833,4.8,19.02,59,0,8.75,FR,1693359385
511,lautoka,-17.6167,177.4667,26.92,61,75,7.2,FJ,1693359385
512,coracora,-15.0333,-73.7833,11.15,37,3,1.5,PE,1693359385
513,sao joao da barra,-21.6403,-41.0511,21.49,89,100,6.88,BR,1693359386
514,tara,56.8944,74.371,15.7,58,100,7.3,RU,1693359386
515,kavalerovo,44.2661,135.0572,16.49,99,100,1.45,RU,1693359386
516,belmonte,-15.8631,-38.8828,23.25,90,98,0.12,BR,1693359386
517,grand falls-windsor,48.9332,-55.6649,13.12,83,0,2.69,CA,1693359387
518,vorkuta,67.5,64.0,6.81,89,100,2.24,RU,1693359387
519,gao,16.6362,1.637,32.25,34,59,1.25,ML,1693359387
520,ghadamis,30.1337,9.5007,29.31,18,98,2.89,LY,1693359388
521,firuzabad,28.8438,52.5707,23.88,39,0,1.86,IR,1693359388
522,bodaybo,57.8506,114.1933,22.57,51,14,0.53,RU,1693359388
523,happy valley-goose bay,53.3168,-60.3315,21.17,46,75,5.66,CA,1693359389
524,harper,4.375,-7.7169,24.51,87,100,4.13,LR,1693359389
525,betong,5.7743,101.0723,23.25,96,100,0.7,TH,1693359097
526,mahibadhoo,3.7833,72.9667,28.3,69,100,4.78,MV,1693359389
527,sao jose da coroa grande,-8.8978,-35.1478,24.47,83,24,1.26,BR,1693359390
528,kisangani,0.5167,25.2,20.59,98,91,0.9,CD,1693359390
529,zhangye,38.9342,100.4517,26.25,21,4,0.74,CN,1693359391
530,jijiga,9.35,42.8,17.77,72,67,8.58,ET,1693359391
531,okha,53.5739,142.9478,16.02,73,100,3.87,RU,1693359392
532,talara,-4.5772,-81.2719,21.42,88,0,6.84,PE,1693359392
533,torbat-e jam,35.244,60.6225,24.44,21,42,1.52,IR,1693359392
534,lazaro cardenas,17.9583,-102.2,27.79,80,23,1.0,MX,1693359393
535,karasburg,-28.0167,18.75,17.78,45,0,3.18,NA,1693359394
536,kruisfontein,-34.0033,24.7314,19.49,17,0,5.12,ZA,1693359394
537,ambalavao,-21.8333,46.9333,11.02,85,77,2.87,MG,1693359395
538,tralee,52.2704,-9.7026,12.85,71,100,2.61,IE,1693359395
539,punta cana,18.5818,-68.4043,28.87,79,40,2.57,DO,1693359396
540,puerto escondido,15.85,-97.0667,28.46,61,75,1.03,MX,1693359396
541,queenstown,-31.8976,26.8753,12.44,24,0,3.08,ZA,1693359396
542,luderitz,-26.6481,15.1594,17.53,65,0,2.31,NA,1693359397
543,kapa'a,22.0752,-159.319,31.18,71,40,7.2,US,1693359397
544,cocal,-28.6167,-49.35,12.11,96,73,1.34,BR,1693359397
545,kuta,-8.7233,115.1723,26.97,83,75,5.81,ID,1693359398
546,borogontsy,62.6683,131.1683,24.4,50,12,2.53,RU,1693359398
547,thames,-37.1333,175.5333,14.3,53,43,0.82,NZ,1693359104
548,fuerte olimpo,-21.0415,-57.8738,25.21,49,100,2.08,PY,1693359398
549,faro,37.0194,-7.9322,23.88,46,0,6.69,PT,1693359399
550,turinsk,58.0458,63.696,11.17,96,99,3.72,RU,1693359399
551,coronel dorrego,-38.7187,-61.2873,10.63,55,59,4.75,AR,1693359400
552,an nuhud,12.7,28.4333,25.75,65,98,3.89,SD,1693359400
553,callaway,30.153,-85.5699,26.65,89,100,3.58,US,1693359400
554,dauphin,51.1494,-100.0502,17.08,77,0,2.06,CA,1693359401
555,birzebbuga,35.8258,14.5269,25.08,68,20,2.57,MT,1693359401
556,dapa,9.7594,126.0531,28.62,72,99,2.53,PH,1693359401
557,pedernales,18.0384,-71.744,29.04,73,91,2.66,DO,1693359402
558,reggane,26.7158,0.1714,33.17,31,86,3.49,DZ,1693359402
559,balabac,7.9868,117.0645,28.7,78,100,5.75,PH,1693359403
560,leua,48.2156,18.6071,15.93,97,100,0.34,SK,1693359403
561,saudarkrokur,65.7461,-19.6394,9.45,77,100,1.93,IS,1693359403
562,adiake,5.2863,-3.304,23.24,95,97,2.03,CI,1693359404
